ts,rss_mb,cpu_pct,vm_pressure_flag,avail_mem_level,pageins_delta,pageouts_delta
1766543765.3447208,91.81,23.9,1,73,100,0
1766543765.8857238,628.12,60.3,1,68,8195,0
1766543766.4268239,628.12,15.0,1,66,38928,0
1766543766.966562,628.12,7.3,1,64,70307,2
1766543767.5400078,628.12,6.6,1,61,100648,2
1766543768.078491,628.12,7.1,1,58,131523,2
1766543768.6215749,628.12,6.9,1,53,162445,6
1766543769.165356,628.12,7.2,1,51,193303,7
1766543769.707364,628.12,7.1,1,49,224258,13
1766543770.250279,628.12,7.1,1,48,255438,30
1766543770.786613,628.12,7.0,1,43,286474,30
1766543771.325071,628.47,40.9,1,42,300634,30
1766543771.863897,632.41,13.5,1,42,300784,30
1766543772.416511,632.86,3.3,1,42,300854,30
1766543772.984501,633.17,4.0,1,42,301581,30
1766543773.5411258,633.31,7.3,1,43,301637,30
1766543774.081753,633.48,4.6,1,44,301711,30
1766543774.634271,633.58,5.3,1,42,301781,30
1766543775.192134,633.67,6.9,1,42,301846,30
1766543775.745806,633.80,7.3,1,41,301936,30
1766543776.288123,633.86,3.6,1,42,301993,30
1766543776.827831,633.89,2.5,1,44,302080,30
1766543777.3666198,633.95,2.4,1,44,302150,30
1766543777.9056482,634.08,2.2,1,43,302221,30
1766543778.444791,634.12,2.6,1,42,302429,30
1766543778.981313,634.22,6.1,1,42,302486,30
1766543779.520861,634.34,3.6,1,42,302556,30
1766543780.0603788,634.45,2.6,1,44,302622,30
1766543780.5996711,634.50,2.7,1,44,302690,30
